        2.93 real        10.18 user         0.11 sys
        2.33 real         7.67 user         0.10 sys
        1.53 real         5.03 user         0.07 sys
        2.12 real         7.15 user         0.09 sys
        0.78 real         2.03 user         0.04 sys
        2.02 real         6.52 user         0.08 sys
        1.91 real         6.93 user         0.10 sys
        0.57 real         1.41 user         0.03 sys
        0.93 real         2.75 user         0.05 sys
        1.47 real         4.69 user         0.06 sys
        2.09 real         7.30 user         0.09 sys
        2.91 real         9.71 user         0.11 sys
        2.31 real         7.09 user         0.09 sys
        2.22 real         7.78 user         0.09 sys
        3.74 real        12.87 user         0.11 sys
        3.08 real        10.78 user         0.11 sys
        1.63 real         5.39 user         0.07 sys
        1.06 real         3.28 user         0.05 sys
        2.21 real         7.48 user         0.08 sys
        0.66 real         1.78 user         0.04 sys
        5.94 real        21.78 user         0.17 sys
        2.81 real         9.85 user         0.09 sys
        4.33 real        16.06 user         0.15 sys
        2.02 real         6.85 user         0.09 sys
        1.23 real         3.63 user         0.06 sys
        2.99 real         9.92 user         0.12 sys
        0.89 real         2.59 user         0.05 sys
        1.88 real         5.78 user         0.07 sys
        1.79 real         5.88 user         0.08 sys
        1.21 real         4.04 user         0.06 sys
        1.26 real         3.32 user         0.06 sys
        2.06 real         6.99 user         0.08 sys
        1.33 real         4.19 user         0.06 sys
        1.80 real         6.02 user         0.07 sys
        1.52 real         4.88 user         0.08 sys
        2.42 real         8.77 user         0.10 sys
        1.64 real         5.45 user         0.07 sys
        0.97 real         2.88 user         0.05 sys
        1.86 real         6.25 user         0.08 sys
        5.15 real        18.61 user         0.16 sys
        0.73 real         2.01 user         0.04 sys
        1.47 real         4.76 user         0.06 sys
        1.39 real         4.37 user         0.06 sys
        2.52 real         8.70 user         0.10 sys
        1.95 real         5.97 user         0.08 sys
        5.39 real        19.73 user         0.14 sys
        1.14 real         3.57 user         0.05 sys
        2.64 real         9.28 user         0.11 sys
        2.84 real        10.03 user         0.11 sys
        1.31 real         4.12 user         0.06 sys
        0.66 real         1.76 user         0.04 sys
        1.82 real         6.30 user         0.10 sys
        1.54 real         4.88 user         0.07 sys
        1.63 real         5.30 user         0.07 sys
        0.73 real         1.97 user         0.04 sys
        1.22 real         3.88 user         0.06 sys
        0.52 real         1.29 user         0.03 sys
        2.49 real         8.67 user         0.09 sys
        1.10 real         3.32 user         0.06 sys
        1.49 real         4.82 user         0.07 sys
        5.87 real        21.04 user         0.16 sys
        1.50 real         5.13 user         0.07 sys
        1.30 real         4.19 user         0.05 sys
        4.11 real        14.77 user         0.13 sys
        1.48 real         4.64 user         0.07 sys
        2.38 real         8.08 user         0.09 sys
        2.65 real         8.64 user         0.11 sys
        1.04 real         3.14 user         0.06 sys
        1.19 real         3.70 user         0.06 sys
        0.89 real         2.58 user         0.04 sys
        2.10 real         7.56 user         0.09 sys
        1.24 real         4.04 user         0.06 sys
        1.36 real         4.39 user         0.07 sys
        4.40 real        15.98 user         0.18 sys
        4.32 real        15.21 user         0.14 sys
        0.62 real         1.30 user         0.03 sys
        2.94 real        10.13 user         0.11 sys
        2.11 real         7.14 user         0.09 sys
        2.69 real         9.20 user         0.10 sys
        1.22 real         3.81 user         0.06 sys
        2.24 real         7.67 user         0.08 sys
      334.97 real      1296.74 user         7.79 sys
        4.36 real        15.00 user         0.15 sys
        2.03 real         7.37 user         0.09 sys
        2.29 real         7.90 user         0.09 sys
        2.17 real         7.50 user         0.09 sys
        1.16 real         3.66 user         0.06 sys
        1.80 real         5.77 user         0.08 sys
        2.16 real         7.45 user         0.10 sys
        1.14 real         3.52 user         0.06 sys
        1.74 real         5.70 user         0.07 sys
        2.16 real         7.18 user         0.08 sys
        1.17 real         3.68 user         0.06 sys
        1.22 real         3.88 user         0.06 sys
        2.71 real         9.17 user         0.10 sys
        0.96 real         2.78 user         0.05 sys
        1.17 real         3.61 user         0.05 sys
        0.93 real         2.75 user         0.05 sys
        1.18 real         3.38 user         0.06 sys
        2.02 real         6.60 user         0.09 sys
