        5.94 real        20.28 user         0.17 sys
        6.18 real        22.55 user         0.18 sys
      127.22 real       491.86 user         1.62 sys
        7.98 real        29.21 user         0.22 sys
        3.60 real        12.74 user         0.13 sys
      689.61 real      2657.57 user         6.57 sys
       14.38 real        53.69 user         0.31 sys
Command terminated abnormally.
    21820.36 real     22872.29 user      7058.00 sys
