        2.16 real         7.27 user         0.09 sys
        8.63 real        28.71 user         0.25 sys
        7.74 real        28.63 user         0.22 sys
        3.18 real        11.14 user         0.11 sys
        7.89 real        28.66 user         0.22 sys
        0.97 real         2.60 user         0.05 sys
        4.41 real        15.88 user         0.16 sys
        6.22 real        22.97 user         0.17 sys
       10.00 real        36.64 user         0.25 sys
        5.85 real        21.02 user         0.17 sys
        3.36 real        11.77 user         0.11 sys
        4.09 real        14.03 user         0.14 sys
        3.17 real        11.05 user         0.11 sys
        3.64 real        12.99 user         0.13 sys
        3.97 real        14.12 user         0.13 sys
        2.80 real         9.63 user         0.10 sys
        1.92 real         6.40 user         0.09 sys
        7.07 real        26.15 user         0.21 sys
        1.74 real         5.69 user         0.07 sys
        5.32 real        19.23 user         0.16 sys
        3.41 real        11.38 user         0.11 sys
        2.45 real         8.40 user         0.10 sys
        1.83 real         6.16 user         0.07 sys
        0.87 real         2.67 user         0.06 sys
        1.88 real         6.20 user         0.08 sys
        0.84 real         2.26 user         0.05 sys
        7.25 real        26.46 user         0.21 sys
        4.46 real        15.63 user         0.14 sys
        3.41 real        11.72 user         0.13 sys
        1.86 real         6.45 user         0.09 sys
        4.11 real        14.54 user         0.14 sys
        4.86 real        16.28 user         0.16 sys
        0.73 real         2.02 user         0.04 sys
        1.02 real         3.13 user         0.05 sys
        3.94 real        14.06 user         0.13 sys
        2.01 real         6.64 user         0.09 sys
        8.09 real        29.78 user         0.23 sys
        1.82 real         6.07 user         0.08 sys
        4.64 real        16.20 user         0.14 sys
        2.83 real         9.78 user         0.10 sys
        2.13 real         7.25 user         0.09 sys
        2.05 real         6.84 user         0.08 sys
       11.34 real        41.57 user         0.26 sys
        2.16 real         7.25 user         0.08 sys
       11.19 real        41.67 user         0.24 sys
        9.28 real        34.40 user         0.23 sys
        4.09 real        14.81 user         0.14 sys
        2.69 real         8.71 user         0.10 sys
        5.37 real        18.71 user         0.16 sys
        3.83 real        13.54 user         0.13 sys
        4.37 real        15.65 user         0.13 sys
        8.00 real        29.82 user         0.21 sys
        2.10 real         6.97 user         0.08 sys
        1.88 real         6.39 user         0.08 sys
        1.04 real         3.20 user         0.05 sys
        2.12 real         7.11 user         0.09 sys
        2.79 real         9.53 user         0.11 sys
        1.37 real         4.34 user         0.07 sys
        5.95 real        20.99 user         0.16 sys
        2.41 real         8.29 user         0.10 sys
        1.85 real         5.90 user         0.08 sys
        2.20 real         7.41 user         0.08 sys
        1.44 real         4.55 user         0.06 sys
        5.69 real        20.65 user         0.17 sys
        3.60 real        12.74 user         0.13 sys
        1.77 real         5.31 user         0.08 sys
        1.69 real         5.65 user         0.08 sys
        3.09 real        10.78 user         0.12 sys
        6.89 real        25.01 user         0.20 sys
        1.52 real         4.86 user         0.06 sys
        4.06 real        14.99 user         0.15 sys
        2.93 real        10.17 user         0.10 sys
        2.53 real         8.70 user         0.10 sys
        7.35 real        26.69 user         0.22 sys
        1.40 real         4.37 user         0.07 sys
        2.42 real         7.98 user         0.10 sys
        3.64 real        12.83 user         0.12 sys
        2.50 real         8.60 user         0.09 sys
        4.99 real        17.37 user         0.14 sys
        3.97 real        14.05 user         0.14 sys
        5.75 real        21.30 user         0.20 sys
        1.92 real         6.46 user         0.08 sys
        6.42 real        23.26 user         0.18 sys
        3.36 real        11.75 user         0.12 sys
        1.92 real         6.37 user         0.09 sys
        7.66 real        27.53 user         0.21 sys
        5.06 real        17.30 user         0.17 sys
        3.45 real        12.16 user         0.13 sys
        3.96 real        14.07 user         0.13 sys
        3.68 real        13.01 user         0.12 sys
        1.79 real         5.95 user         0.08 sys
        2.06 real         6.85 user         0.09 sys
        3.84 real        13.35 user         0.13 sys
        2.66 real         9.21 user         0.10 sys
        6.22 real        21.98 user         0.16 sys
        3.65 real        13.03 user         0.12 sys
        2.94 real        10.40 user         0.12 sys
        2.48 real         8.47 user         0.09 sys
        1.34 real         4.13 user         0.06 sys
        6.46 real        23.27 user         0.18 sys
