        2.71 real         9.30 user         0.10 sys
        2.34 real         8.05 user         0.09 sys
        3.01 real        10.52 user         0.10 sys
        3.12 real        11.32 user         0.11 sys
        1.22 real         3.45 user         0.06 sys
        0.45 real         0.99 user         0.03 sys
        1.15 real         3.45 user         0.06 sys
        2.22 real         7.48 user         0.10 sys
        1.77 real         5.81 user         0.08 sys
        2.48 real         8.43 user         0.08 sys
        1.39 real         4.64 user         0.07 sys
        3.63 real        12.89 user         0.12 sys
        1.55 real         5.12 user         0.07 sys
        2.45 real         7.92 user         0.10 sys
        2.53 real         8.73 user         0.10 sys
        0.97 real         2.89 user         0.05 sys
        2.65 real         9.39 user         0.11 sys
        2.31 real         7.91 user         0.09 sys
        2.25 real         7.52 user         0.08 sys
        0.71 real         1.91 user         0.04 sys
        0.95 real         2.80 user         0.05 sys
        2.84 real         9.87 user         0.10 sys
        1.14 real         3.45 user         0.06 sys
        1.61 real         5.24 user         0.07 sys
        2.70 real         9.49 user         0.10 sys
        4.28 real        14.97 user         0.13 sys
        2.27 real         7.71 user         0.09 sys
        2.92 real         9.88 user         0.12 sys
        3.88 real        13.34 user         0.14 sys
        0.94 real         2.82 user         0.05 sys
        1.59 real         5.14 user         0.07 sys
        3.79 real        13.65 user         0.17 sys
        4.67 real        16.80 user         0.14 sys
        1.14 real         3.53 user         0.06 sys
        2.01 real         6.75 user         0.08 sys
        2.92 real        10.72 user         0.11 sys
        2.78 real         9.50 user         0.10 sys
        3.69 real        12.70 user         0.13 sys
        2.59 real         8.90 user         0.09 sys
        0.78 real         1.99 user         0.04 sys
        6.65 real        24.32 user         0.18 sys
        4.18 real        14.79 user         0.13 sys
        0.44 real         0.97 user         0.03 sys
        3.16 real        11.46 user         0.11 sys
        2.31 real         7.79 user         0.09 sys
        0.92 real         2.70 user         0.05 sys
        3.95 real        13.82 user         0.13 sys
        1.20 real         3.79 user         0.06 sys
        1.51 real         5.45 user         0.08 sys
        0.75 real         2.08 user         0.04 sys
        3.73 real        13.26 user         0.13 sys
        3.31 real        11.13 user         0.11 sys
        2.01 real         5.99 user         0.09 sys
        1.81 real         6.02 user         0.07 sys
        0.73 real         2.03 user         0.04 sys
        1.74 real         5.66 user         0.07 sys
        0.98 real         2.97 user         0.05 sys
        1.56 real         5.14 user         0.07 sys
        2.28 real         7.49 user         0.09 sys
        2.33 real         8.34 user         0.11 sys
        2.15 real         7.23 user         0.09 sys
        2.92 real        10.49 user         0.10 sys
        0.30 real         0.45 user         0.02 sys
        1.03 real         3.09 user         0.05 sys
        3.36 real        12.09 user         0.12 sys
        2.33 real         8.05 user         0.10 sys
        2.54 real         9.10 user         0.10 sys
        2.35 real         7.97 user         0.13 sys
        1.30 real         4.00 user         0.06 sys
        2.45 real         8.37 user         0.09 sys
        2.69 real         9.36 user         0.10 sys
        3.32 real        11.79 user         0.11 sys
        2.08 real         7.34 user         0.09 sys
        3.27 real        11.47 user         0.12 sys
        3.03 real        10.77 user         0.11 sys
        1.50 real         4.99 user         0.07 sys
        3.19 real        10.64 user         0.12 sys
        1.76 real         5.89 user         0.07 sys
        4.80 real        16.12 user         0.15 sys
        3.04 real         9.95 user         0.11 sys
        2.14 real         7.05 user         0.09 sys
        1.88 real         6.31 user         0.08 sys
        1.44 real         5.09 user         0.07 sys
        3.46 real        11.69 user         0.13 sys
        1.12 real         3.48 user         0.05 sys
        0.48 real         1.14 user         0.03 sys
        1.30 real         4.08 user         0.06 sys
        3.65 real        13.02 user         0.12 sys
        0.77 real         2.14 user         0.05 sys
        2.12 real         7.38 user         0.10 sys
        1.35 real         4.31 user         0.06 sys
        2.49 real         8.16 user         0.09 sys
        2.23 real         7.58 user         0.09 sys
        2.16 real         7.23 user         0.08 sys
        1.97 real         6.71 user         0.08 sys
        3.88 real        13.40 user         0.13 sys
        2.30 real         7.83 user         0.09 sys
        4.23 real        14.53 user         0.17 sys
        4.46 real        15.98 user         0.13 sys
        2.94 real        10.05 user         0.12 sys
