        0.65 real         1.77 user         0.04 sys
        7.89 real        28.62 user         0.23 sys
        2.82 real         9.83 user         0.11 sys
        1.41 real         4.53 user         0.07 sys
        4.28 real        14.61 user         0.13 sys
        4.33 real        15.92 user         0.14 sys
        2.31 real         7.67 user         0.09 sys
        1.43 real         4.62 user         0.07 sys
        2.33 real         7.85 user         0.09 sys
        2.77 real         9.56 user         0.11 sys
        2.41 real         8.16 user         0.09 sys
        1.04 real         3.18 user         0.05 sys
        1.69 real         4.81 user         0.07 sys
        8.93 real        31.30 user         0.27 sys
        3.72 real        12.55 user         0.12 sys
        1.54 real         5.06 user         0.07 sys
        2.01 real         6.66 user         0.08 sys
        0.93 real         2.54 user         0.05 sys
        0.87 real         2.54 user         0.05 sys
        2.49 real         8.66 user         0.09 sys
        2.67 real         9.25 user         0.10 sys
        3.64 real        12.90 user         0.12 sys
        0.78 real         2.18 user         0.04 sys
        4.09 real        13.75 user         0.13 sys
        3.77 real        13.63 user         0.12 sys
        3.39 real        11.54 user         0.12 sys
        1.95 real         6.51 user         0.08 sys
        0.36 real         0.68 user         0.03 sys
        2.73 real         8.93 user         0.10 sys
        2.39 real         8.09 user         0.09 sys
        3.04 real        10.69 user         0.11 sys
        5.53 real        19.71 user         0.16 sys
        1.86 real         5.94 user         0.08 sys
        3.01 real        10.60 user         0.12 sys
        0.35 real         0.66 user         0.03 sys
        5.82 real        21.28 user         0.16 sys
        2.44 real         8.42 user         0.09 sys
        1.71 real         5.78 user         0.08 sys
        2.00 real         6.75 user         0.09 sys
        1.89 real         6.30 user         0.08 sys
        5.34 real        18.73 user         0.15 sys
        2.61 real         8.97 user         0.10 sys
        3.13 real        10.85 user         0.11 sys
        2.47 real         8.52 user         0.09 sys
        1.40 real         4.41 user         0.07 sys
        2.33 real         7.97 user         0.08 sys
        4.93 real        17.71 user         0.15 sys
        1.08 real         3.19 user         0.06 sys
        5.04 real        18.16 user         0.15 sys
        2.90 real         9.72 user         0.11 sys
        3.05 real        10.53 user         0.12 sys
        0.88 real         2.57 user         0.05 sys
        6.07 real        22.01 user         0.18 sys
        3.43 real        12.05 user         0.12 sys
        2.59 real         8.95 user         0.09 sys
        2.43 real         8.26 user         0.09 sys
        6.04 real        20.93 user         0.20 sys
        6.01 real        20.88 user         0.18 sys
        1.48 real         5.07 user         0.07 sys
        0.86 real         2.47 user         0.05 sys
        2.72 real         9.28 user         0.09 sys
        5.50 real        19.93 user         0.15 sys
        4.60 real        15.36 user         0.15 sys
        0.70 real         1.97 user         0.04 sys
        2.45 real         8.26 user         0.09 sys
        2.67 real         9.39 user         0.11 sys
        2.41 real         8.20 user         0.09 sys
        1.18 real         3.65 user         0.05 sys
        2.22 real         7.55 user         0.08 sys
        3.14 real        10.97 user         0.11 sys
        1.48 real         4.31 user         0.07 sys
        0.62 real         1.68 user         0.04 sys
        1.76 real         5.85 user         0.08 sys
        4.09 real        14.47 user         0.16 sys
        6.24 real        22.57 user         0.20 sys
        2.52 real         8.29 user         0.10 sys
        4.18 real        15.16 user         0.13 sys
        5.05 real        17.82 user         0.16 sys
        1.05 real         3.20 user         0.05 sys
        0.93 real         2.73 user         0.04 sys
        0.78 real         2.15 user         0.04 sys
        0.91 real         2.68 user         0.05 sys
        1.81 real         5.49 user         0.07 sys
        2.01 real         6.80 user         0.08 sys
        3.31 real        11.96 user         0.12 sys
        2.34 real         7.30 user         0.09 sys
        3.00 real        10.66 user         0.11 sys
        3.14 real        10.93 user         0.11 sys
        2.42 real         8.12 user         0.10 sys
        1.98 real         6.55 user         0.09 sys
        3.13 real        10.79 user         0.12 sys
        1.74 real         5.70 user         0.08 sys
        6.05 real        21.95 user         0.17 sys
        4.19 real        14.71 user         0.14 sys
        1.76 real         5.83 user         0.08 sys
        1.93 real         6.38 user         0.08 sys
        0.69 real         1.93 user         0.04 sys
        5.47 real        20.14 user         0.24 sys
        5.16 real        18.55 user         0.18 sys
        1.28 real         4.06 user         0.06 sys
