Generation 18, best fitness is 100000
Generation 29, best fitness is 100000
Generation 271, best fitness is 100000
Generation 56, best fitness is 100000
Generation 11, best fitness is 100000
Generation 980, best fitness is 100000
Generation 38, best fitness is 100000
Generation 8399, best fitness is 7942
