       10.48 real        20.65 user         0.13 sys
       13.03 real        25.73 user         0.15 sys
        8.20 real        16.01 user         0.12 sys
        8.73 real        17.13 user         0.12 sys
       23.47 real        46.50 user         0.23 sys
        3.72 real         7.18 user         0.06 sys
        4.87 real         9.44 user         0.08 sys
      458.70 real       911.44 user         2.27 sys
       15.41 real        30.38 user         0.17 sys
        4.49 real         8.86 user         0.07 sys
        5.60 real        10.90 user         0.07 sys
       10.28 real        20.17 user         0.12 sys
       12.76 real        25.23 user         0.13 sys
        4.55 real         8.88 user         0.07 sys
        5.00 real         9.86 user         0.08 sys
       16.28 real        32.24 user         0.17 sys
        9.30 real        18.20 user         0.12 sys
       12.19 real        24.14 user         0.14 sys
       71.67 real       142.59 user         0.56 sys
       68.41 real       135.99 user         0.56 sys
       26.19 real        51.85 user         0.26 sys
        3.36 real         6.27 user         0.06 sys
        1.06 real         1.89 user         0.03 sys
        2.75 real         5.24 user         0.05 sys
       40.71 real        80.68 user         0.35 sys
        8.06 real        15.77 user         0.11 sys
        5.54 real        10.75 user         0.09 sys
       11.32 real        22.32 user         0.14 sys
        7.21 real        14.25 user         0.10 sys
        8.32 real        16.41 user         0.13 sys
        4.28 real         8.27 user         0.07 sys
       16.33 real        32.25 user         0.18 sys
        5.78 real        11.26 user         0.08 sys
        5.12 real        10.06 user         0.08 sys
        6.59 real        13.04 user         0.10 sys
        6.93 real        13.56 user         0.10 sys
       12.54 real        24.79 user         0.15 sys
        9.04 real        17.74 user         0.11 sys
       72.74 real       144.56 user         0.56 sys
        2.53 real         4.61 user         0.04 sys
        6.18 real        12.08 user         0.09 sys
       54.00 real       106.72 user         0.43 sys
       18.43 real        36.48 user         0.20 sys
       14.23 real        28.04 user         0.16 sys
       22.54 real        44.68 user         0.23 sys
       26.79 real        53.07 user         0.25 sys
        2.38 real         4.49 user         0.05 sys
        4.00 real         7.76 user         0.06 sys
       11.21 real        22.19 user         0.14 sys
        8.65 real        16.97 user         0.11 sys
        5.40 real        10.44 user         0.09 sys
        8.26 real        16.19 user         0.11 sys
        5.11 real        10.00 user         0.09 sys
        1.56 real         2.88 user         0.03 sys
       22.52 real        44.64 user         0.22 sys
        9.94 real        19.53 user         0.13 sys
       12.05 real        23.61 user         0.14 sys
       23.89 real        47.04 user         0.24 sys
      963.25 real      1919.02 user         5.03 sys
        6.10 real        12.08 user         0.09 sys
        7.51 real        14.69 user         0.10 sys
       13.44 real        26.56 user         0.16 sys
        4.55 real         8.83 user         0.07 sys
       14.23 real        28.07 user         0.16 sys
        9.41 real        18.42 user         0.12 sys
        3.55 real         6.84 user         0.06 sys
        8.83 real        17.45 user         0.13 sys
        6.44 real        12.52 user         0.08 sys
       13.81 real        27.22 user         0.15 sys
        8.36 real        16.37 user         0.11 sys
       10.35 real        20.31 user         0.13 sys
       13.15 real        25.98 user         0.14 sys
        4.33 real         8.37 user         0.07 sys
        3.90 real         7.41 user         0.06 sys
       10.90 real        20.79 user         0.13 sys
       10.49 real        20.60 user         0.13 sys
       12.11 real        23.94 user         0.14 sys
       19.05 real        37.60 user         0.20 sys
        6.56 real        12.78 user         0.09 sys
        0.99 real         1.73 user         0.03 sys
        4.29 real         8.29 user         0.07 sys
       15.29 real        30.05 user         0.18 sys
        8.68 real        17.04 user         0.11 sys
       15.88 real        31.47 user         0.18 sys
       14.01 real        27.57 user         0.16 sys
       14.23 real        28.07 user         0.15 sys
        5.82 real        11.33 user         0.08 sys
        8.32 real        16.24 user         0.11 sys
       21.90 real        43.38 user         0.23 sys
        7.99 real        15.60 user         0.10 sys
        0.83 real         1.41 user         0.03 sys
       37.73 real        74.87 user         0.32 sys
        9.36 real        18.47 user         0.12 sys
       20.28 real        40.10 user         0.20 sys
        5.45 real        10.78 user         0.09 sys
       24.29 real        48.11 user         0.23 sys
        8.62 real        16.92 user         0.11 sys
        2.91 real         5.59 user         0.05 sys
       59.62 real       118.07 user         0.46 sys
        3.97 real         7.64 user         0.06 sys
