	2.36	real	4.44	user	0.04	sys
	1.51	real	2.9	user	0.05	sys
	1.18	real	2.08	user	0.03	sys
	2.78	real	5.32	user	0.05	sys
	0.79	real	1.34	user	0.02	sys
	4.54	real	8.93	user	0.08	sys
	1.66	real	2.91	user	0.04	sys
	2.03	real	3.99	user	0.04	sys
	3.73	real	7.17	user	0.09	sys
	1.26	real	2.27	user	0.03	sys
	1.74	real	3.38	user	0.04	sys
	4.01	real	7.77	user	0.05	sys
	0.8	real	1.36	user	0.02	sys
	2.32	real	4.53	user	0.05	sys
	0.24	real	0.25	user	0.01	sys
	1.53	real	2.87	user	0.03	sys
	1.69	real	3.12	user	0.03	sys
	2.18	real	4.14	user	0.05	sys
	1.24	real	2.22	user	0.03	sys
	1.19	real	2.08	user	0.03	sys
	1.55	real	2.85	user	0.03	sys
	6.12	real	11.99	user	0.1	sys
	1.19	real	2.17	user	0.03	sys
	1.72	real	3.25	user	0.04	sys
	1.81	real	3.52	user	0.04	sys
	0.55	real	0.86	user	0.02	sys
	7.69	real	14.93	user	0.1	sys
	1.94	real	3.6	user	0.04	sys
	0.41	real	0.59	user	0.01	sys
	2.22	real	4.34	user	0.05	sys
	1.65	real	3.11	user	0.04	sys
	1.76	real	3.38	user	0.04	sys
	0.78	real	1.5	user	0.03	sys
	1.5	real	2.75	user	0.03	sys
	1.89	real	3.69	user	0.04	sys
	1.74	real	3.37	user	0.03	sys
	1.16	real	2.24	user	0.03	sys
	1.77	real	3.33	user	0.03	sys
	10.22	real	20.1	user	0.12	sys
	0.7	real	1.18	user	0.02	sys
	0.68	real	1.13	user	0.02	sys
	1.26	real	2.2	user	0.02	sys
	3.35	real	6.45	user	0.05	sys
	1.04	real	1.83	user	0.03	sys
	2.89	real	5.45	user	0.05	sys
	1.54	real	2.79	user	0.04	sys
	1.33	real	2.59	user	0.04	sys
	1.34	real	2.41	user	0.03	sys
	1.08	real	2.02	user	0.03	sys
	1.65	real	3.03	user	0.04	sys
	2.32	real	4.54	user	0.05	sys
	3.32	real	6.49	user	0.06	sys
	1.05	real	1.85	user	0.03	sys
	1.95	real	3.64	user	0.04	sys
	1.45	real	2.79	user	0.04	sys
	1.24	real	2.38	user	0.03	sys
	1.76	real	3.4	user	0.04	sys
	2.63	real	4.93	user	0.05	sys
	0.88	real	1.39	user	0.03	sys
	0.84	real	1.42	user	0.02	sys
	0.97	real	1.65	user	0.02	sys
	0.98	real	1.71	user	0.03	sys
	1	real	1.92	user	0.03	sys
	1.25	real	2.27	user	0.03	sys
	1.23	real	2.21	user	0.03	sys
	5.44	real	10.72	user	0.09	sys
	1.97	real	3.67	user	0.04	sys
	1.13	real	2.02	user	0.03	sys
	6.18	real	12.09	user	0.1	sys
	3.27	real	6.37	user	0.07	sys
	6.28	real	12.4	user	0.08	sys
	0.88	real	1.5	user	0.02	sys
	1.12	real	1.98	user	0.03	sys
	1.1	real	1.94	user	0.03	sys
	0.86	real	1.47	user	0.02	sys
	1.37	real	2.48	user	0.03	sys
	4.5	real	8.68	user	0.07	sys
	1.59	real	2.92	user	0.04	sys
	0.92	real	1.57	user	0.02	sys
	2.4	real	4.52	user	0.04	sys
	2.15	real	4.19	user	0.04	sys
	1.05	real	1.84	user	0.03	sys
	3.03	real	5.93	user	0.06	sys
	1.08	real	1.96	user	0.02	sys
	1.53	real	2.81	user	0.03	sys
	0.48	real	0.72	user	0.02	sys
	1.8	real	3.47	user	0.05	sys
	1.66	real	3.08	user	0.03	sys
	2.63	real	4.95	user	0.05	sys
	0.8	real	1.34	user	0.02	sys
	1.57	real	2.79	user	0.04	sys
	3.89	real	7.65	user	0.06	sys
	0.93	real	1.62	user	0.02	sys
	2.15	real	4.18	user	0.05	sys
	41.62	real	82.69	user	0.35	sys
	2.07	real	4.02	user	0.07	sys
	3.23	real	6.34	user	0.06	sys
	7	real	13.62	user	0.22	sys
	1.22	real	2.21	user	0.03	sys
	2.72	real	5.35	user	0.04	sys
	2.478		4.734			
