        8.55 real        16.78 user         0.11 sys
        3.19 real         6.14 user         0.06 sys
       13.85 real        26.30 user         0.15 sys
        2.12 real         4.00 user         0.04 sys
        6.34 real        12.35 user         0.09 sys
        2.26 real         4.26 user         0.04 sys
        5.36 real        10.41 user         0.08 sys
        8.09 real        15.81 user         0.11 sys
       45.55 real        90.51 user         0.49 sys
        7.29 real        14.26 user         0.10 sys
       17.08 real        33.73 user         0.19 sys
        5.29 real        10.04 user         0.08 sys
       95.82 real       190.68 user         0.67 sys
        1.40 real         2.57 user         0.03 sys
        0.68 real         1.13 user         0.02 sys
        6.10 real        11.89 user         0.09 sys
       11.64 real        23.04 user         0.14 sys
        3.21 real         6.19 user         0.06 sys
        8.99 real        17.64 user         0.12 sys
        6.16 real        12.00 user         0.09 sys
        1.65 real         3.05 user         0.04 sys
        9.54 real        18.73 user         0.12 sys
       20.09 real        39.75 user         0.20 sys
        0.73 real         1.23 user         0.02 sys
        3.68 real         7.10 user         0.06 sys
        3.73 real         7.19 user         0.06 sys
        3.50 real         6.89 user         0.07 sys
        9.17 real        17.98 user         0.12 sys
        7.80 real        15.22 user         0.11 sys
        9.31 real        18.14 user         0.13 sys
        5.77 real        11.21 user         0.08 sys
        7.17 real        14.10 user         0.10 sys
       35.27 real        70.12 user         0.32 sys
       10.40 real        20.40 user         0.13 sys
        4.88 real         9.46 user         0.08 sys
       16.20 real        32.01 user         0.17 sys
       11.75 real        23.11 user         0.14 sys
        4.52 real         8.79 user         0.06 sys
       14.34 real        28.33 user         0.18 sys
        3.22 real         6.18 user         0.06 sys
        6.96 real        13.60 user         0.09 sys
       17.34 real        34.26 user         0.19 sys
        5.32 real        10.26 user         0.08 sys
        5.32 real        10.34 user         0.08 sys
       14.70 real        29.05 user         0.17 sys
        6.51 real        12.85 user         0.10 sys
        6.29 real        12.43 user         0.09 sys
       27.15 real        53.88 user         0.25 sys
        4.53 real         8.78 user         0.07 sys
        2.89 real         5.53 user         0.05 sys
       10.71 real        21.19 user         0.15 sys
        8.63 real        16.93 user         0.11 sys
        5.01 real         9.72 user         0.08 sys
        7.49 real        14.57 user         0.10 sys
       13.84 real        27.42 user         0.16 sys
        4.59 real         8.76 user         0.07 sys
        8.41 real        16.61 user         0.11 sys
        9.87 real        19.52 user         0.13 sys
        3.89 real         7.67 user         0.06 sys
        0.96 real         1.70 user         0.03 sys
        6.25 real        12.03 user         0.09 sys
       19.01 real        37.50 user         0.20 sys
       22.62 real        44.72 user         0.22 sys
        7.53 real        14.72 user         0.10 sys
        8.88 real        17.44 user         0.11 sys
        5.42 real        10.66 user         0.08 sys
       10.92 real        21.62 user         0.14 sys
        5.57 real        10.80 user         0.08 sys
        2.94 real         5.62 user         0.06 sys
        8.77 real        17.15 user         0.12 sys
        8.56 real        16.94 user         0.11 sys
        7.61 real        14.82 user         0.12 sys
        7.66 real        14.97 user         0.10 sys
        0.63 real         1.00 user         0.02 sys
        3.94 real         7.61 user         0.06 sys
        0.91 real         1.61 user         0.02 sys
       10.71 real        21.06 user         0.14 sys
        7.38 real        14.58 user         0.12 sys
        5.09 real         9.53 user         0.08 sys
       12.20 real        24.05 user         0.14 sys
        3.29 real         6.45 user         0.06 sys
        6.70 real        13.05 user         0.09 sys
       44.91 real        89.20 user         0.35 sys
        8.67 real        17.04 user         0.11 sys
        2.45 real         4.62 user         0.05 sys
        3.80 real         7.33 user         0.06 sys
        6.79 real        13.30 user         0.09 sys
        8.83 real        17.28 user         0.11 sys
        2.86 real         5.44 user         0.05 sys
        6.42 real        12.71 user         0.09 sys
        5.34 real        10.54 user         0.09 sys
        5.08 real         9.89 user         0.07 sys
        6.51 real        12.71 user         0.09 sys
        2.73 real         5.19 user         0.05 sys
        5.41 real        10.46 user         0.08 sys
        4.87 real         9.61 user         0.08 sys
        1.61 real         2.99 user         0.04 sys
        6.65 real        12.98 user         0.10 sys
        6.34 real        12.34 user         0.09 sys
        3.67 real         7.11 user         0.06 sys
