        3.56 real         6.78 user         0.06 sys
       18.58 real        36.90 user         0.18 sys
        2.22 real         4.18 user         0.04 sys
        1.27 real         2.30 user         0.03 sys
        1.65 real         3.10 user         0.04 sys
        4.13 real         7.87 user         0.06 sys
        7.95 real        15.72 user         0.10 sys
        5.03 real         9.79 user         0.07 sys
        1.41 real         2.60 user         0.03 sys
        5.44 real        10.73 user         0.10 sys
        3.00 real         5.76 user         0.05 sys
        0.52 real         0.83 user         0.02 sys
        1.85 real         3.46 user         0.04 sys
        1.06 real         1.89 user         0.03 sys
       12.82 real        25.09 user         0.15 sys
        2.20 real         4.31 user         0.05 sys
        4.22 real         8.14 user         0.06 sys
        7.16 real        14.01 user         0.10 sys
        5.81 real        11.24 user         0.09 sys
        0.99 real         1.84 user         0.03 sys
        1.85 real         3.43 user         0.04 sys
        4.66 real         9.16 user         0.08 sys
        1.69 real         3.25 user         0.04 sys
        2.31 real         4.35 user         0.05 sys
        4.12 real         8.05 user         0.07 sys
        2.29 real         4.31 user         0.04 sys
        4.31 real         8.39 user         0.06 sys
        3.55 real         6.99 user         0.07 sys
        6.58 real        12.80 user         0.09 sys
        2.72 real         5.12 user         0.06 sys
        1.59 real         3.05 user         0.05 sys
        1.07 real         1.88 user         0.03 sys
        2.02 real         3.69 user         0.04 sys
        4.65 real         8.97 user         0.07 sys
        6.49 real        12.71 user         0.08 sys
       11.59 real        22.62 user         0.17 sys
        9.10 real        17.45 user         0.12 sys
        1.75 real         3.38 user         0.05 sys
        5.60 real        11.04 user         0.09 sys
        2.62 real         4.91 user         0.05 sys
        1.43 real         2.80 user         0.04 sys
        3.18 real         6.22 user         0.06 sys
        1.38 real         2.52 user         0.03 sys
        1.38 real         2.49 user         0.03 sys
        2.42 real         4.57 user         0.04 sys
        0.67 real         1.10 user         0.02 sys
        3.59 real         7.05 user         0.07 sys
        1.34 real         2.43 user         0.03 sys
        3.28 real         6.41 user         0.06 sys
        2.30 real         4.36 user         0.04 sys
        2.14 real         3.97 user         0.04 sys
       10.60 real        20.86 user         0.13 sys
       96.81 real       192.82 user         0.67 sys
        1.67 real         3.07 user         0.04 sys
        7.25 real        14.18 user         0.09 sys
        2.82 real         5.52 user         0.05 sys
        3.53 real         6.81 user         0.06 sys
        2.70 real         5.14 user         0.05 sys
        2.78 real         5.30 user         0.04 sys
        5.51 real        10.74 user         0.09 sys
        1.48 real         2.70 user         0.03 sys
       45.13 real        89.54 user         0.37 sys
        5.44 real        10.51 user         0.09 sys
        1.32 real         2.39 user         0.03 sys
        7.93 real        14.57 user         0.11 sys
       83.98 real       167.09 user         0.67 sys
       20.95 real        41.39 user         0.20 sys
        5.60 real        10.86 user         0.09 sys
        8.22 real        16.08 user         0.10 sys
Command terminated abnormally.
     1408.03 real      2748.55 user         5.69 sys
        3.69 real         7.15 user         0.06 sys
        5.26 real        10.12 user         0.08 sys
       12.01 real        23.71 user         0.12 sys
        4.07 real         7.81 user         0.06 sys
        3.32 real         6.31 user         0.06 sys
        6.48 real        12.61 user         0.09 sys
        1.02 real         1.78 user         0.03 sys
        2.46 real         4.66 user         0.04 sys
        1.06 real         1.87 user         0.03 sys
        0.69 real         1.14 user         0.02 sys
        2.75 real         5.25 user         0.05 sys
        0.68 real         1.13 user         0.02 sys
        3.16 real         6.04 user         0.05 sys
        2.40 real         4.21 user         0.04 sys
        4.38 real         8.45 user         0.06 sys
        5.74 real        11.23 user         0.09 sys
        0.68 real         1.14 user         0.02 sys
        4.70 real         9.10 user         0.07 sys
        4.90 real         9.61 user         0.08 sys
        4.18 real         8.18 user         0.07 sys
        6.69 real        13.03 user         0.09 sys
        2.35 real         4.59 user         0.04 sys
        6.68 real        13.12 user         0.10 sys
        2.43 real         4.70 user         0.05 sys
        0.64 real         1.05 user         0.02 sys
        6.92 real        13.49 user         0.10 sys
        3.41 real         6.51 user         0.06 sys
        2.40 real         4.56 user         0.04 sys
        5.99 real        11.68 user         0.08 sys
        6.48 real        11.88 user         0.14 sys
