        1.52 real         2.77 user         0.03 sys
        2.52 real         4.78 user         0.05 sys
       11.66 real        22.86 user         0.14 sys
        2.40 real         4.59 user         0.04 sys
        5.52 real        10.73 user         0.08 sys
        2.96 real         5.71 user         0.05 sys
        2.73 real         4.85 user         0.04 sys
        2.11 real         4.13 user         0.05 sys
        5.46 real        10.58 user         0.08 sys
        1.67 real         3.09 user         0.04 sys
        4.75 real         9.19 user         0.08 sys
        2.27 real         4.28 user         0.04 sys
        0.78 real         1.34 user         0.02 sys
        2.22 real         4.36 user         0.05 sys
        3.05 real         5.81 user         0.05 sys
       14.81 real        29.00 user         0.16 sys
        7.12 real        13.75 user         0.09 sys
        5.20 real        10.12 user         0.07 sys
       10.85 real        21.22 user         0.13 sys
        6.52 real        12.84 user         0.11 sys
        2.44 real         4.59 user         0.04 sys
        0.88 real         1.55 user         0.02 sys
        3.75 real         7.22 user         0.06 sys
        2.70 real         5.27 user         0.05 sys
        3.06 real         5.86 user         0.05 sys
        1.86 real         3.63 user         0.04 sys
        7.47 real        14.65 user         0.09 sys
        3.23 real         6.22 user         0.06 sys
        2.20 real         4.12 user         0.04 sys
        4.85 real         9.48 user         0.07 sys
        6.79 real        13.06 user         0.09 sys
        7.29 real        14.11 user         0.09 sys
        4.11 real         7.94 user         0.06 sys
        1.93 real         3.61 user         0.04 sys
        0.92 real         1.62 user         0.02 sys
        0.67 real         1.11 user         0.02 sys
        5.68 real        11.15 user         0.12 sys
        3.75 real         7.34 user         0.07 sys
        6.05 real        11.93 user         0.09 sys
        1.07 real         1.89 user         0.03 sys
        3.76 real         7.24 user         0.06 sys
        3.48 real         6.68 user         0.06 sys
        1.47 real         2.70 user         0.03 sys
        6.28 real        12.38 user         0.08 sys
        9.94 real        19.68 user         0.14 sys
        2.22 real         4.17 user         0.04 sys
        0.80 real         1.36 user         0.02 sys
        4.08 real         7.88 user         0.07 sys
        2.55 real         4.83 user         0.05 sys
        5.05 real         9.77 user         0.07 sys
        2.61 real         5.13 user         0.06 sys
        4.04 real         7.76 user         0.07 sys
        0.58 real         0.94 user         0.02 sys
        1.71 real         3.17 user         0.04 sys
        2.32 real         4.34 user         0.04 sys
        1.39 real         2.52 user         0.03 sys
        3.55 real         6.76 user         0.06 sys
        3.05 real         5.97 user         0.06 sys
        4.71 real         9.28 user         0.08 sys
        4.82 real         9.38 user         0.07 sys
        4.01 real         7.90 user         0.07 sys
        1.74 real         3.24 user         0.04 sys
        0.79 real         1.34 user         0.02 sys
        4.00 real         7.74 user         0.06 sys
        1.82 real         3.42 user         0.04 sys
        5.41 real        10.56 user         0.08 sys
        0.89 real         1.57 user         0.02 sys
        1.50 real         2.75 user         0.03 sys
        4.16 real         7.99 user         0.07 sys
        4.48 real         8.69 user         0.07 sys
        2.84 real         5.46 user         0.05 sys
        1.29 real         2.38 user         0.03 sys
        3.56 real         6.81 user         0.06 sys
        6.12 real        12.07 user         0.08 sys
        1.38 real         2.53 user         0.03 sys
        2.78 real         5.30 user         0.05 sys
        2.94 real         5.57 user         0.05 sys
        3.27 real         6.28 user         0.06 sys
        7.18 real        14.04 user         0.09 sys
        9.81 real        19.05 user         0.12 sys
       10.19 real        20.11 user         0.13 sys
        5.51 real        10.70 user         0.07 sys
        8.06 real        15.76 user         0.10 sys
        2.11 real         3.97 user         0.04 sys
        1.94 real         3.60 user         0.04 sys
        2.23 real         4.37 user         0.05 sys
        8.02 real        15.61 user         0.11 sys
        6.88 real        13.55 user         0.14 sys
        3.73 real         7.23 user         0.06 sys
        2.44 real         4.62 user         0.05 sys
        0.52 real         0.81 user         0.02 sys
        1.73 real         3.16 user         0.04 sys
        3.75 real         7.22 user         0.06 sys
        3.38 real         6.42 user         0.06 sys
        3.21 real         6.13 user         0.05 sys
        6.99 real        13.58 user         0.10 sys
        1.90 real         3.69 user         0.05 sys
        4.54 real         8.65 user         0.07 sys
        2.40 real         4.70 user         0.06 sys
        4.47 real         8.60 user         0.07 sys
