       15.76 real        15.70 user         0.12 sys
        3.72 real         3.70 user         0.03 sys
        1.74 real         1.72 user         0.02 sys
        1.63 real         1.61 user         0.02 sys
       12.01 real        11.97 user         0.08 sys
        5.28 real         5.26 user         0.04 sys
        2.58 real         2.56 user         0.02 sys
        6.80 real         6.77 user         0.05 sys
        9.62 real         9.57 user         0.08 sys
        3.19 real         3.17 user         0.03 sys
        7.28 real         7.25 user         0.06 sys
        3.44 real         3.42 user         0.03 sys
        0.63 real         0.62 user         0.01 sys
        8.68 real         8.63 user         0.07 sys
        3.77 real         3.74 user         0.04 sys
        5.56 real         5.53 user         0.04 sys
        6.04 real         6.01 user         0.05 sys
        1.75 real         1.73 user         0.02 sys
        7.43 real         7.41 user         0.06 sys
       11.79 real        11.75 user         0.09 sys
        3.07 real         3.05 user         0.03 sys
       22.01 real        21.97 user         0.12 sys
        1.58 real         1.56 user         0.02 sys
        5.29 real         5.27 user         0.04 sys
        2.99 real         2.97 user         0.02 sys
        3.95 real         3.93 user         0.03 sys
        8.14 real         8.11 user         0.07 sys
        1.12 real         1.10 user         0.01 sys
       21.80 real        21.74 user         0.15 sys
        5.24 real         5.21 user         0.04 sys
        5.52 real         5.50 user         0.04 sys
        2.22 real         2.20 user         0.02 sys
       22.77 real        22.72 user         0.13 sys
        6.03 real         6.01 user         0.04 sys
        8.85 real         8.81 user         0.08 sys
        7.31 real         7.29 user         0.05 sys
        2.68 real         2.66 user         0.03 sys
        2.92 real         2.90 user         0.03 sys
        2.95 real         2.93 user         0.03 sys
        3.48 real         3.46 user         0.03 sys
        5.17 real         5.14 user         0.05 sys
        4.28 real         4.26 user         0.04 sys
        6.65 real         6.62 user         0.05 sys
        7.86 real         7.83 user         0.06 sys
        3.48 real         3.46 user         0.03 sys
        2.41 real         2.40 user         0.02 sys
        9.50 real         9.47 user         0.07 sys
        1.94 real         1.93 user         0.02 sys
        7.44 real         7.40 user         0.06 sys
        4.02 real         3.99 user         0.03 sys
        9.74 real         9.72 user         0.07 sys
        4.05 real         4.03 user         0.04 sys
       11.73 real        11.70 user         0.08 sys
        2.50 real         2.48 user         0.03 sys
        2.30 real         2.28 user         0.03 sys
        3.53 real         3.51 user         0.03 sys
        4.63 real         4.62 user         0.04 sys
        5.23 real         5.21 user         0.04 sys
       12.19 real        12.16 user         0.07 sys
        5.83 real         5.81 user         0.05 sys
       13.49 real        13.46 user         0.09 sys
        1.24 real         1.23 user         0.01 sys
        2.54 real         2.52 user         0.03 sys
        5.68 real         5.66 user         0.04 sys
        5.73 real         5.70 user         0.04 sys
        5.51 real         5.48 user         0.04 sys
       17.16 real        17.13 user         0.11 sys
        8.44 real         8.42 user         0.06 sys
        7.96 real         7.93 user         0.06 sys
        4.90 real         4.88 user         0.04 sys
       11.65 real        11.62 user         0.07 sys
        4.80 real         4.78 user         0.04 sys
       14.46 real        14.42 user         0.10 sys
        3.49 real         3.47 user         0.03 sys
       12.98 real        12.95 user         0.08 sys
        2.06 real         2.05 user         0.02 sys
        5.93 real         5.90 user         0.05 sys
        5.62 real         5.60 user         0.04 sys
       10.73 real        10.70 user         0.07 sys
        8.55 real         8.51 user         0.08 sys
        4.99 real         4.97 user         0.04 sys
        8.56 real         8.53 user         0.06 sys
        3.75 real         3.72 user         0.04 sys
        4.84 real         4.82 user         0.04 sys
        1.25 real         1.23 user         0.02 sys
        8.58 real         8.51 user         0.10 sys
       15.54 real        15.51 user         0.09 sys
        3.70 real         3.67 user         0.03 sys
        3.97 real         3.94 user         0.04 sys
        3.34 real         3.31 user         0.03 sys
        0.65 real         0.64 user         0.01 sys
        8.18 real         8.16 user         0.05 sys
        7.05 real         7.02 user         0.05 sys
        7.57 real         7.55 user         0.05 sys
        9.67 real         9.65 user         0.06 sys
       20.10 real        20.03 user         0.15 sys
        1.46 real         1.44 user         0.02 sys
        4.41 real         4.39 user         0.04 sys
        1.22 real         1.21 user         0.02 sys
        2.28 real         2.26 user         0.02 sys
