	18.15	real	18.11	user	0.11	sys
	14.9	real	14.88	user	0.08	sys
	8.41	real	8.38	user	0.06	sys
	9.26	real	9.23	user	0.06	sys
	10.19	real	10.15	user	0.08	sys
	14.83	real	14.8	user	0.08	sys
	4.24	real	4.22	user	0.04	sys
	7.7	real	7.68	user	0.06	sys
	11.79	real	11.76	user	0.07	sys
	7.33	real	7.32	user	0.05	sys
	11.07	real	11.03	user	0.08	sys
	6.44	real	6.42	user	0.05	sys
	3.53	real	3.51	user	0.03	sys
	4.81	real	4.79	user	0.05	sys
	1.98	real	1.97	user	0.02	sys
	9.91	real	9.89	user	0.07	sys
	4.14	real	4.11	user	0.04	sys
	1.91	real	1.89	user	0.02	sys
	5.79	real	5.77	user	0.04	sys
	18.75	real	18.65	user	0.1	sys
	9.83	real	9.81	user	0.06	sys
	2.94	real	2.93	user	0.02	sys
	22.22	real	22.18	user	0.11	sys
	21.46	real	21.43	user	0.1	sys
	30.06	real	30.02	user	0.15	sys
	15.76	real	15.72	user	0.09	sys
	15.9	real	15.87	user	0.1	sys
	9.64	real	9.63	user	0.06	sys
	17.21	real	17.18	user	0.09	sys
	11.74	real	11.71	user	0.07	sys
	21.34	real	21.31	user	0.11	sys
	36.7	real	36.67	user	0.18	sys
	18.02	real	18	user	0.1	sys
	4.15	real	4.13	user	0.04	sys
	4.79	real	4.75	user	0.05	sys
	6.05	real	6.03	user	0.04	sys
	8.39	real	8.36	user	0.05	sys
	11.25	real	11.22	user	0.07	sys
	8.78	real	8.74	user	0.07	sys
	15.17	real	15.15	user	0.08	sys
	13.08	real	13.04	user	0.09	sys
	12.5	real	12.48	user	0.08	sys
	5.92	real	5.9	user	0.05	sys
	13.54	real	13.51	user	0.09	sys
	4.66	real	4.63	user	0.04	sys
	27.16	real	27.13	user	0.14	sys
	12.64	real	12.61	user	0.08	sys
	31.27	real	31.24	user	0.15	sys
	17.11	real	17.07	user	0.1	sys
	5.75	real	5.73	user	0.04	sys
	6.6	real	6.58	user	0.05	sys
	6.34	real	6.32	user	0.04	sys
	14.14	real	14.1	user	0.1	sys
	11.25	real	11.22	user	0.07	sys
	5.84	real	5.82	user	0.04	sys
	7.53	real	7.51	user	0.05	sys
	22.95	real	22.91	user	0.12	sys
	41.97	real	41.93	user	0.19	sys
	6	real	5.96	user	0.05	sys
	17.53	real	17.49	user	0.1	sys
	7.41	real	7.39	user	0.05	sys
	23.42	real	23.37	user	0.13	sys
	44.69	real	44.66	user	0.21	sys
	3.39	real	3.37	user	0.03	sys
	21.46	real	21.42	user	0.12	sys
	21.77	real	21.74	user	0.12	sys
	37.37	real	37.34	user	0.17	sys
	11.54	real	11.51	user	0.08	sys
	5.54	real	5.52	user	0.04	sys
	3.55	real	3.53	user	0.03	sys
	11.37	real	11.34	user	0.07	sys
	25.13	real	25.09	user	0.13	sys
	29.74	real	29.7	user	0.15	sys
	11.09	real	11.06	user	0.08	sys
	18.13	real	18.1	user	0.11	sys
	9.16	real	9.14	user	0.06	sys
	21.89	real	21.85	user	0.12	sys
	5.42	real	5.39	user	0.05	sys
	28.6	real	28.56	user	0.15	sys
	9.68	real	9.65	user	0.06	sys
	5.04	real	5.02	user	0.04	sys
	6.72	real	6.7	user	0.05	sys
	6.16	real	6.12	user	0.06	sys
	13.34	real	13.31	user	0.08	sys
	12.93	real	12.9	user	0.08	sys
	16.16	real	16.12	user	0.09	sys
	6.48	real	6.46	user	0.04	sys
	12.94	real	12.91	user	0.07	sys
	19.98	real	19.95	user	0.11	sys
	7.35	real	7.33	user	0.05	sys
	5.58	real	5.55	user	0.05	sys
	3.89	real	3.87	user	0.03	sys
	40.94	real	40.89	user	0.2	sys
	26.19	real	26.15	user	0.13	sys
	0.6	real	0.59	user	0.01	sys
	6.71	real	6.69	user	0.05	sys
	3.01	real	2.98	user	0.03	sys
	3.07	real	3.05	user	0.03	sys
	13.2423469388		13.2132653061			
